Date,Open,High,Low,Close,Adj Close,Volume,RSI,MA,MACD,upper_band,middle_band,lower_band,VWAP
2013-05-28,167.0399932861328,167.77999877929688,165.80999755859375,166.3000030517578,138.20501708984375,143679800,,,,,,,166.3000030517578
2013-05-29,165.4199981689453,165.8000030517578,164.33999633789062,165.22000122070312,137.30747985839844,160363400,,,,,,,165.7303709546277
2013-05-30,165.35000610351562,166.58999633789062,165.22000122070312,165.8300018310547,137.81446838378906,107793800,,,,,,,165.75644823949378
2013-05-31,165.3699951171875,166.30999755859375,163.1300048828125,163.4499969482422,135.83648681640625,176850100,,,,,,,165.0635569879223
2013-06-03,163.8300018310547,164.4600067138672,162.66000366210938,164.35000610351562,136.58448791503906,168390700,,,,,,,164.90484762818298
2013-06-04,164.44000244140625,165.10000610351562,162.72999572753906,163.55999755859375,135.92794799804688,157631500,,,,,,,164.67309013567203
2013-06-05,163.08999633789062,163.4199981689453,161.1300048828125,161.27000427246094,134.02479553222656,211737800,,,,,,,164.03341347985088
2013-06-06,161.1999969482422,162.74000549316406,160.25,162.72999572753906,135.2381591796875,200225500,,,,,,,163.83669767282697
2013-06-07,163.85000610351562,164.9499969482422,163.13999938964844,164.8000030517578,136.95846557617188,188337800,,,,,,,163.95645052455393
2013-06-10,165.30999755859375,165.39999389648438,164.3699951171875,164.8000030517578,136.95846557617188,105667100,,,,,,,164.01144959083783
2013-06-11,163.3000030517578,164.5399932861328,162.74000549316406,163.10000610351562,135.545654296875,159505400,,,,,,,163.9297837361536
2013-06-12,164.22000122070312,164.38999938964844,161.60000610351562,161.75,134.4237060546875,177361500,,,,,,,163.73228644663118
2013-06-13,161.66000366210938,164.5,161.3000030517578,164.2100067138672,136.46812438964844,163587800,,,,,,,163.76912960404144
2013-06-14,164.02999877929688,164.6699981689453,162.91000366210938,163.17999267578125,135.6121368408203,141197500,,163.89642987932478,,,,,163.73236013519346
2013-06-17,164.2899932861328,165.22000122070312,163.22000122070312,164.44000244140625,136.6592254638672,136295600,45.20124935929788,163.7635726928711,,,,,163.77257005573028
2013-06-18,164.52999877929688,165.99000549316406,164.52000427246094,165.74000549316406,137.7397003173828,114695600,51.326538000123,163.80071585518974,,,,,163.86235412904847
2013-06-19,165.60000610351562,165.88999938964844,163.3800048828125,163.4499969482422,135.83648681640625,206149500,44.40789898251124,163.6307155064174,,,,,163.83109538593268
2013-06-20,161.86000061035156,163.47000122070312,158.97999572753906,159.39999389648438,132.47076416015625,321255900,41.1764862322189,163.341429574149,,,,,163.36294489932556
2013-06-21,159.63999938964844,159.75999450683594,157.47000122070312,159.07000732421875,132.89599609375,271956800,38.203774737539696,162.96428680419922,,,,,163.01051349243193
2013-06-24,157.41000366210938,158.42999267578125,155.72999572753906,157.05999755859375,131.21673583984375,222329000,36.22883492860709,162.5000010899135,,168.03187375995662,163.1855010986328,158.339128437309,162.63626519578412
2013-06-25,158.47999572753906,160.10000610351562,157.4199981689453,158.57000732421875,132.47825622558594,162262200,44.08415717452283,162.30714416503906,,167.82901285430128,162.79900131225585,157.76898977021042,162.45780942148372
2013-06-26,159.8699951171875,160.5,159.25,160.13999938964844,133.7899627685547,134848000,44.352398013234456,162.1221444266183,,167.5733117306233,162.5450012207031,157.51669071078294,162.37624833791054
2013-06-27,161.10000610351562,161.82000732421875,160.9499969482422,161.0800018310547,134.57522583007812,129483700,41.467906218852534,161.85643005371094,,167.12687933032169,162.30750122070313,157.48812311108458,162.33388097633554
2013-06-28,160.6300048828125,161.39999389648438,159.86000061035156,160.4199981689453,134.02383422851562,160402900,40.2493440638286,161.54357256208147,,167.0144990380695,162.15600128173827,157.29750352540705,162.2594045838742
2013-07-01,161.25999450683594,162.47999572753906,161.0800018310547,161.36000061035156,134.80917358398438,131954800,45.990781465894585,161.41928645542689,,166.76369401839335,162.0065010070801,157.24930799576683,162.23150573945165
2013-07-02,161.1199951171875,162.3000030517578,160.5,161.2100067138672,134.6838836669922,154863700,48.68294614552684,161.3807155064174,-1.5623076023199758,166.6005021571086,161.88900146484374,157.1775007725789,162.19562474337357
2013-07-03,160.47999572753906,161.77000427246094,160.22000122070312,161.27999877929688,134.74241638183594,75216400,41.91053865707721,161.17142922537667,-1.6325641534267277,166.60072755695705,161.88950119018554,157.17827482341403,162.18026581918903
2013-07-05,162.47000122070312,163.0800018310547,161.3000030517578,163.02000427246094,136.196044921875,122416900,49.57495161704864,161.16000148228235,-1.7746156545785823,166.62788843877254,161.90400161743165,157.18011479609075,162.20258190630128
2013-07-08,163.86000061035156,164.38999938964844,163.0800018310547,163.9499969482422,136.97300720214844,108092500,48.674944976773475,161.1250010899135,-1.660641107803741,166.4900148600777,161.86150131225585,157.232987764434,162.242645609564
2013-07-09,164.97999572753906,165.3300018310547,164.27000427246094,165.1300048828125,137.95884704589844,119298000,48.33968354435637,161.08142961774553,-1.2477558820675654,166.55274388370762,161.87800140380858,157.20325892390954,162.3139047717368
2013-07-10,164.97000122070312,165.75,164.6300048828125,165.19000244140625,138.00900268554688,121410100,55.39035179356956,161.2057157244001,-0.7700638404259337,166.8612506960641,161.9825012207031,157.10375174534212,162.38437276213003
2013-07-11,167.11000061035156,167.61000061035156,165.17999267578125,167.44000244140625,139.8887176513672,135592200,78.03350975647646,161.7800020490374,-0.054294390556151484,167.71864309400723,162.26700134277343,156.81535959153962,162.51902679422864
